season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2010/11,40146,40,40,4,35,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2011/12,40146,45,44,13,540,0,0,1,9,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
2012/13,40146,45,39,47,1286,0,0,5,17,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0
2013/14,40146,50,43,30,1449,0,0,3,32,0,0,0,3,0,0,0,50,0.0,0.0,0.0,0.0
2014/15,40146,50,58,140,3053,2,3,13,30,0,0,0,3,1,0,13,641,0.0,0.0,0.0,0.0
2015/16,40146,55,52,106,2880,1,4,9,33,0,0,0,6,0,0,3,558,0.0,0.0,0.0,0.0
2016/17,40146,55,56,123,2507,2,5,12,36,0,0,0,3,0,0,9,575,517.4,442.4,255.0,121.5
2017/18,40146,55,53,103,3135,0,5,8,49,0,0,0,2,0,0,4,553,515.2,589.1,286.0,139.3
2018/19,40146,50,48,56,2160,1,0,6,42,0,0,0,8,0,0,1,291,326.8,379.4,123.0,82.6
2019/20,40146,50,48,75,2742,1,1,7,52,0,0,0,3,1,0,0,432,436.8,538.5,234.0,121.1
2020/21,40146,50,50,78,2598,0,2,8,51,0,0,0,5,0,0,4,404,306.8,271.8,135.0,71.4
